GrLivArea,GarageCars,SalePrice
162,3,32.11
239,1,51.54
152,1,29.4
74,1,14.26
166,3,37.1
131,1,22.82
248,1,48.61
80,3,18.56
162,3,32.86
181,3,36.73
134,1,31.06
147,3,35.41
176,3,36.87
159,1,32.55
163,3,39.31
211,1,38.92
190,2,41.01
209,3,50.72
112,2,30.3
61,1,7.38
147,3,30.11
217,1,44.91
97,2,17.43
189,1,36.8
251,3,52.79
247,3,56.6
80,2,17.86
220,1,45.65
117,3,27.94
81,2,19.83
148,3,32.68
108,3,21.01
118,1,26.97
229,3,50.09
247,1,47.11
74,3,15.75
249,2,54.46
249,3,54.62
234,1,45.64
249,1,49.99
110,2,23.57
167,3,38.25
114,3,29.55
123,2,26.8
190,3,44.51
110,3,27.62
194,1,40.42
80,3,14.67
132,3,26.32
226,2,49.42
77,2,12.27
191,1,39.56
148,3,35.6
119,3,27.26
73,3,15.8
68,1,12.06
149,1,33.25
112,2,25.82
189,1,37.94
143,3,34.8
151,3,35.76
170,1,40.37
247,3,54.1
258,3,54.11
231,1,46.77
67,1,8.6
234,3,50.25
94,3,21.75
140,3,27.01
223,2,46.52
109,2,27.83
163,2,32.4
191,1,36.32
61,2,17.51
193,1,41.5
113,1,32.78
165,2,31.04
63,2,16.76
113,2,25.55
250,3,53.18
205,2,45.73
103,3,23.51
221,1,39.39
249,3,50.26
73,2,20.69
154,1,35.32
107,1,21.28
74,1,17.31
259,3,63.15
249,2,51.71
99,1,20.77
141,1,29.77
170,1,36.82
112,3,24.35
83,3,21.42
213,2,38.77
247,3,53.41
183,1,37.75
100,2,21.35
216,1,42.77
